r,base_odd,odds_diff
1,3,4
2,5,8
3,9,16
4,17,32
5,33,64
6,1,128
7,193,256
8,321,512
9,577,1024
10,1089,2048
11,2113,4096
12,65,8192
13,12353,16384
14,20545,32768
15,36929,65536
16,69697,131072
17,135233,262144
18,4161,524288
19,790593,1048576
20,1314881,2097152
21,2363457,4194304
22,4460609,8388608
23,8654913,16777216
24,266305,33554432
