r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
11,2243,6339,10435,14531,18627,22723,26819,30915,35011,39107,43203,47299,51395,55491,59587,63683,67779,71875,75971,80067,84163,88259,92355,96451,100547,104643,108739,112835,116931,121027,125123,129219,133315,137411,141507,145603,149699,153795,157891,161987,166083,170179,174275,178371,182467,186563,190659,194755,198851,202947,207043,211139,215235,219331,223427,227523,231619,235715,239811,243907,248003,252099,256195,260291,264387,268483,272579,276675,280771,284867,288963,293059,297155,301251,305347,309443,313539,317635,321731,325827,329923,334019,338115,342211,346307,350403,354499,358595,362691,366787,370883,374979,379075,383171,387267,391363,395459,399555,403651,407747
12,195,8387,16579,24771,32963,41155,49347,57539,65731,73923,82115,90307,98499,106691,114883,123075,131267,139459,147651,155843,164035,172227,180419,188611,196803,204995,213187,221379,229571,237763,245955,254147,262339,270531,278723,286915,295107,303299,311491,319683,327875,336067,344259,352451,360643,368835,377027,385219,393411,401603,409795,417987,426179,434371,442563,450755,458947,467139,475331,483523,491715,499907,508099,516291,524483,532675,540867,549059,557251,565443,573635,581827,590019,598211,606403,614595,622787,630979,639171,647363,655555,663747,671939,680131,688323,696515,704707,712899,721091,729283,737475,745667,753859,762051,770243,778435,786627,794819,803011,811203
13,4291,20675,37059,53443,69827,86211,102595,118979,135363,151747,168131,184515,200899,217283,233667,250051,266435,282819,299203,315587,331971,348355,364739,381123,397507,413891,430275,446659,463043,479427,495811,512195,528579,544963,561347,577731,594115,610499,626883,643267,659651,676035,692419,708803,725187,741571,757955,774339,790723,807107,823491,839875,856259,872643,889027,905411,921795,938179,954563,970947,987331,1003715,1020099,1036483,1052867,1069251,1085635,1102019,1118403,1134787,1151171,1167555,1183939,1200323,1216707,1233091,1249475,1265859,1282243,1298627,1315011,1331395,1347779,1364163,1380547,1396931,1413315,1429699,1446083,1462467,1478851,1495235,1511619,1528003,1544387,1560771,1577155,1593539,1609923,1626307
14,28867,61635,94403,127171,159939,192707,225475,258243,291011,323779,356547,389315,422083,454851,487619,520387,553155,585923,618691,651459,684227,716995,749763,782531,815299,848067,880835,913603,946371,979139,1011907,1044675,1077443,1110211,1142979,1175747,1208515,1241283,1274051,1306819,1339587,1372355,1405123,1437891,1470659,1503427,1536195,1568963,1601731,1634499,1667267,1700035,1732803,1765571,1798339,1831107,1863875,1896643,1929411,1962179,1994947,2027715,2060483,2093251,2126019,2158787,2191555,2224323,2257091,2289859,2322627,2355395,2388163,2420931,2453699,2486467,2519235,2552003,2584771,2617539,2650307,2683075,2715843,2748611,2781379,2814147,2846915,2879683,2912451,2945219,2977987,3010755,3043523,3076291,3109059,3141827,3174595,3207363,3240131,3272899
15,45251,110787,176323,241859,307395,372931,438467,504003,569539,635075,700611,766147,831683,897219,962755,1028291,1093827,1159363,1224899,1290435,1355971,1421507,1487043,1552579,1618115,1683651,1749187,1814723,1880259,1945795,2011331,2076867,2142403,2207939,2273475,2339011,2404547,2470083,2535619,2601155,2666691,2732227,2797763,2863299,2928835,2994371,3059907,3125443,3190979,3256515,3322051,3387587,3453123,3518659,3584195,3649731,3715267,3780803,3846339,3911875,3977411,4042947,4108483,4174019,4239555,4305091,4370627,4436163,4501699,4567235,4632771,4698307,4763843,4829379,4894915,4960451,5025987,5091523,5157059,5222595,5288131,5353667,5419203,5484739,5550275,5615811,5681347,5746883,5812419,5877955,5943491,6009027,6074563,6140099,6205635,6271171,6336707,6402243,6467779,6533315
16,78019,209091,340163,471235,602307,733379,864451,995523,1126595,1257667,1388739,1519811,1650883,1781955,1913027,2044099,2175171,2306243,2437315,2568387,2699459,2830531,2961603,3092675,3223747,3354819,3485891,3616963,3748035,3879107,4010179,4141251,4272323,4403395,4534467,4665539,4796611,4927683,5058755,5189827,5320899,5451971,5583043,5714115,5845187,5976259,6107331,6238403,6369475,6500547,6631619,6762691,6893763,7024835,7155907,7286979,7418051,7549123,7680195,7811267,7942339,8073411,8204483,8335555,8466627,8597699,8728771,8859843,8990915,9121987,9253059,9384131,9515203,9646275,9777347,9908419,10039491,10170563,10301635,10432707,10563779,10694851,10825923,10956995,11088067,11219139,11350211,11481283,11612355,11743427,11874499,12005571,12136643,12267715,12398787,12529859,12660931,12792003,12923075,13054147
17,143555,405699,667843,929987,1192131,1454275,1716419,1978563,2240707,2502851,2764995,3027139,3289283,3551427,3813571,4075715,4337859,4600003,4862147,5124291,5386435,5648579,5910723,6172867,6435011,6697155,6959299,7221443,7483587,7745731,8007875,8270019,8532163,8794307,9056451,9318595,9580739,9842883,10105027,10367171,10629315,10891459,11153603,11415747,11677891,11940035,12202179,12464323,12726467,12988611,13250755,13512899,13775043,14037187,14299331,14561475,14823619,15085763,15347907,15610051,15872195,16134339,16396483,16658627,16920771,17182915,17445059,17707203,17969347,18231491,18493635,18755779,19017923,19280067,19542211,19804355,20066499,20328643,20590787,20852931,21115075,21377219,21639363,21901507,22163651,22425795,22687939,22950083,23212227,23474371,23736515,23998659,24260803,24522947,24785091,25047235,25309379,25571523,25833667,26095811
18,12483,536771,1061059,1585347,2109635,2633923,3158211,3682499,4206787,4731075,5255363,5779651,6303939,6828227,7352515,7876803,8401091,8925379,9449667,9973955,10498243,11022531,11546819,12071107,12595395,13119683,13643971,14168259,14692547,15216835,15741123,16265411,16789699,17313987,17838275,18362563,18886851,19411139,19935427,20459715,20984003,21508291,22032579,22556867,23081155,23605443,24129731,24654019,25178307,25702595,26226883,26751171,27275459,27799747,28324035,28848323,29372611,29896899,30421187,30945475,31469763,31994051,32518339,33042627,33566915,34091203,34615491,35139779,35664067,36188355,36712643,37236931,37761219,38285507,38809795,39334083,39858371,40382659,40906947,41431235,41955523,42479811,43004099,43528387,44052675,44576963,45101251,45625539,46149827,46674115,47198403,47722691,48246979,48771267,49295555,49819843,50344131,50868419,51392707,51916995
19,274627,1323203,2371779,3420355,4468931,5517507,6566083,7614659,8663235,9711811,10760387,11808963,12857539,13906115,14954691,16003267,17051843,18100419,19148995,20197571,21246147,22294723,23343299,24391875,25440451,26489027,27537603,28586179,29634755,30683331,31731907,32780483,33829059,34877635,35926211,36974787,38023363,39071939,40120515,41169091,42217667,43266243,44314819,45363395,46411971,47460547,48509123,49557699,50606275,51654851,52703427,53752003,54800579,55849155,56897731,57946307,58994883,60043459,61092035,62140611,63189187,64237763,65286339,66334915,67383491,68432067,69480643,70529219,71577795,72626371,73674947,74723523,75772099,76820675,77869251,78917827,79966403,81014979,82063555,83112131,84160707,85209283,86257859,87306435,88355011,89403587,90452163,91500739,92549315,93597891,94646467,95695043,96743619,97792195,98840771,99889347,,,,
20,1847491,3944643,6041795,8138947,10236099,12333251,14430403,16527555,18624707,20721859,22819011,24916163,27013315,29110467,31207619,33304771,35401923,37499075,39596227,41693379,43790531,45887683,47984835,50081987,52179139,54276291,56373443,58470595,60567747,62664899,64762051,66859203,68956355,71053507,73150659,75247811,77344963,79442115,81539267,83636419,85733571,87830723,89927875,92025027,94122179,96219331,98316483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2896067,7090371,11284675,15478979,19673283,23867587,28061891,32256195,36450499,40644803,44839107,49033411,53227715,57422019,61616323,65810627,70004931,74199235,78393539,82587843,86782147,90976451,95170755,99365059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4993219,13381827,21770435,30159043,38547651,46936259,55324867,63713475,72102083,80490691,88879299,97267907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9187523,25964739,42741955,59519171,76296387,93073603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,798915,34353347,67907779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,17576131,84684995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,51130563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
