r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,5,13,21,29,37,45,53,61,69,77,85,93,101,109,117,125,133,141,149,157,165,173,181,189,197,205,213,221,229,237,245,253,261,269,277,285,293,301,309,317,325,333,341,349,357,365,373,381,389,397,405,413,421,429,437,445,453,461,469,477,485,493,501,509,517,525,533,541,549,557,565,573,581,589,597,605,613,621,629,637,645,653,661,669,677,685,693,701,709,717,725,733,741,749,757,765,773,781,789,797
3,9,25,41,57,73,89,105,121,137,153,169,185,201,217,233,249,265,281,297,313,329,345,361,377,393,409,425,441,457,473,489,505,521,537,553,569,585,601,617,633,649,665,681,697,713,729,745,761,777,793,809,825,841,857,873,889,905,921,937,953,969,985,1001,1017,1033,1049,1065,1081,1097,1113,1129,1145,1161,1177,1193,1209,1225,1241,1257,1273,1289,1305,1321,1337,1353,1369,1385,1401,1417,1433,1449,1465,1481,1497,1513,1529,1545,1561,1577,1593
4,1,33,65,97,129,161,193,225,257,289,321,353,385,417,449,481,513,545,577,609,641,673,705,737,769,801,833,865,897,929,961,993,1025,1057,1089,1121,1153,1185,1217,1249,1281,1313,1345,1377,1409,1441,1473,1505,1537,1569,1601,1633,1665,1697,1729,1761,1793,1825,1857,1889,1921,1953,1985,2017,2049,2081,2113,2145,2177,2209,2241,2273,2305,2337,2369,2401,2433,2465,2497,2529,2561,2593,2625,2657,2689,2721,2753,2785,2817,2849,2881,2913,2945,2977,3009,3041,3073,3105,3137,3169
5,49,113,177,241,305,369,433,497,561,625,689,753,817,881,945,1009,1073,1137,1201,1265,1329,1393,1457,1521,1585,1649,1713,1777,1841,1905,1969,2033,2097,2161,2225,2289,2353,2417,2481,2545,2609,2673,2737,2801,2865,2929,2993,3057,3121,3185,3249,3313,3377,3441,3505,3569,3633,3697,3761,3825,3889,3953,4017,4081,4145,4209,4273,4337,4401,4465,4529,4593,4657,4721,4785,4849,4913,4977,5041,5105,5169,5233,5297,5361,5425,5489,5553,5617,5681,5745,5809,5873,5937,6001,6065,6129,6193,6257,6321,6385
6,81,209,337,465,593,721,849,977,1105,1233,1361,1489,1617,1745,1873,2001,2129,2257,2385,2513,2641,2769,2897,3025,3153,3281,3409,3537,3665,3793,3921,4049,4177,4305,4433,4561,4689,4817,4945,5073,5201,5329,5457,5585,5713,5841,5969,6097,6225,6353,6481,6609,6737,6865,6993,7121,7249,7377,7505,7633,7761,7889,8017,8145,8273,8401,8529,8657,8785,8913,9041,9169,9297,9425,9553,9681,9809,9937,10065,10193,10321,10449,10577,10705,10833,10961,11089,11217,11345,11473,11601,11729,11857,11985,12113,12241,12369,12497,12625,12753
7,145,401,657,913,1169,1425,1681,1937,2193,2449,2705,2961,3217,3473,3729,3985,4241,4497,4753,5009,5265,5521,5777,6033,6289,6545,6801,7057,7313,7569,7825,8081,8337,8593,8849,9105,9361,9617,9873,10129,10385,10641,10897,11153,11409,11665,11921,12177,12433,12689,12945,13201,13457,13713,13969,14225,14481,14737,14993,15249,15505,15761,16017,16273,16529,16785,17041,17297,17553,17809,18065,18321,18577,18833,19089,19345,19601,19857,20113,20369,20625,20881,21137,21393,21649,21905,22161,22417,22673,22929,23185,23441,23697,23953,24209,24465,24721,24977,25233,25489
8,17,529,1041,1553,2065,2577,3089,3601,4113,4625,5137,5649,6161,6673,7185,7697,8209,8721,9233,9745,10257,10769,11281,11793,12305,12817,13329,13841,14353,14865,15377,15889,16401,16913,17425,17937,18449,18961,19473,19985,20497,21009,21521,22033,22545,23057,23569,24081,24593,25105,25617,26129,26641,27153,27665,28177,28689,29201,29713,30225,30737,31249,31761,32273,32785,33297,33809,34321,34833,35345,35857,36369,36881,37393,37905,38417,38929,39441,39953,40465,40977,41489,42001,42513,43025,43537,44049,44561,45073,45585,46097,46609,47121,47633,48145,48657,49169,49681,50193,50705
9,785,1809,2833,3857,4881,5905,6929,7953,8977,10001,11025,12049,13073,14097,15121,16145,17169,18193,19217,20241,21265,22289,23313,24337,25361,26385,27409,28433,29457,30481,31505,32529,33553,34577,35601,36625,37649,38673,39697,40721,41745,42769,43793,44817,45841,46865,47889,48913,49937,50961,51985,53009,54033,55057,56081,57105,58129,59153,60177,61201,62225,63249,64273,65297,66321,67345,68369,69393,70417,71441,72465,73489,74513,75537,76561,77585,78609,79633,80657,81681,82705,83729,84753,85777,86801,87825,88849,89873,90897,91921,92945,93969,94993,96017,97041,98065,99089,100113,101137,102161
10,1297,3345,5393,7441,9489,11537,13585,15633,17681,19729,21777,23825,25873,27921,29969,32017,34065,36113,38161,40209,42257,44305,46353,48401,50449,52497,54545,56593,58641,60689,62737,64785,66833,68881,70929,72977,75025,77073,79121,81169,83217,85265,87313,89361,91409,93457,95505,97553,99601,101649,103697,105745,107793,109841,111889,113937,115985,118033,120081,122129,124177,126225,128273,130321,132369,134417,136465,138513,140561,142609,144657,146705,148753,150801,152849,154897,156945,158993,161041,163089,165137,167185,169233,171281,173329,175377,177425,179473,181521,183569,185617,187665,189713,191761,193809,195857,197905,199953,202001,204049
