r,base_odd,odds_diff
1,3,4
2,1,8
3,13,16
4,21,32
5,5,64
6,37,128
7,101,256
8,229,512
9,997,1024
10,485,2048
11,3557,4096
12,1509,8192
13,5605,16384
14,30181,32768
15,46565,65536
16,79333,131072
17,144869,262144
18,13797,524288
19,800229,1048576
20,275941,2097152
21,3421669,4194304
