r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,5,13,21,29,37,45,53,61,69,77,85,93,101,109,117,125,133,141,149,157,165,173,181,189,197,205,213,221,229,237,245,253,261,269,277,285,293,301,309,317,325,333,341,349,357,365,373,381,389,397,405,413,421,429,437,445,453,461,469,477,485,493,501,509,517,525,533,541,549,557,565,573,581,589,597,605,613,621,629,637,645,653,661,669,677,685,693,701,709,717,725,733,741,749,757,765,773,781,789,797
3,9,25,41,57,73,89,105,121,137,153,169,185,201,217,233,249,265,281,297,313,329,345,361,377,393,409,425,441,457,473,489,505,521,537,553,569,585,601,617,633,649,665,681,697,713,729,745,761,777,793,809,825,841,857,873,889,905,921,937,953,969,985,1001,1017,1033,1049,1065,1081,1097,1113,1129,1145,1161,1177,1193,1209,1225,1241,1257,1273,1289,1305,1321,1337,1353,1369,1385,1401,1417,1433,1449,1465,1481,1497,1513,1529,1545,1561,1577,1593
4,1,33,65,97,129,161,193,225,257,289,321,353,385,417,449,481,513,545,577,609,641,673,705,737,769,801,833,865,897,929,961,993,1025,1057,1089,1121,1153,1185,1217,1249,1281,1313,1345,1377,1409,1441,1473,1505,1537,1569,1601,1633,1665,1697,1729,1761,1793,1825,1857,1889,1921,1953,1985,2017,2049,2081,2113,2145,2177,2209,2241,2273,2305,2337,2369,2401,2433,2465,2497,2529,2561,2593,2625,2657,2689,2721,2753,2785,2817,2849,2881,2913,2945,2977,3009,3041,3073,3105,3137,3169
5,17,81,145,209,273,337,401,465,529,593,657,721,785,849,913,977,1041,1105,1169,1233,1297,1361,1425,1489,1553,1617,1681,1745,1809,1873,1937,2001,2065,2129,2193,2257,2321,2385,2449,2513,2577,2641,2705,2769,2833,2897,2961,3025,3089,3153,3217,3281,3345,3409,3473,3537,3601,3665,3729,3793,3857,3921,3985,4049,4113,4177,4241,4305,4369,4433,4497,4561,4625,4689,4753,4817,4881,4945,5009,5073,5137,5201,5265,5329,5393,5457,5521,5585,5649,5713,5777,5841,5905,5969,6033,6097,6161,6225,6289,6353
6,113,241,369,497,625,753,881,1009,1137,1265,1393,1521,1649,1777,1905,2033,2161,2289,2417,2545,2673,2801,2929,3057,3185,3313,3441,3569,3697,3825,3953,4081,4209,4337,4465,4593,4721,4849,4977,5105,5233,5361,5489,5617,5745,5873,6001,6129,6257,6385,6513,6641,6769,6897,7025,7153,7281,7409,7537,7665,7793,7921,8049,8177,8305,8433,8561,8689,8817,8945,9073,9201,9329,9457,9585,9713,9841,9969,10097,10225,10353,10481,10609,10737,10865,10993,11121,11249,11377,11505,11633,11761,11889,12017,12145,12273,12401,12529,12657,12785
7,177,433,689,945,1201,1457,1713,1969,2225,2481,2737,2993,3249,3505,3761,4017,4273,4529,4785,5041,5297,5553,5809,6065,6321,6577,6833,7089,7345,7601,7857,8113,8369,8625,8881,9137,9393,9649,9905,10161,10417,10673,10929,11185,11441,11697,11953,12209,12465,12721,12977,13233,13489,13745,14001,14257,14513,14769,15025,15281,15537,15793,16049,16305,16561,16817,17073,17329,17585,17841,18097,18353,18609,18865,19121,19377,19633,19889,20145,20401,20657,20913,21169,21425,21681,21937,22193,22449,22705,22961,23217,23473,23729,23985,24241,24497,24753,25009,25265,25521
8,49,561,1073,1585,2097,2609,3121,3633,4145,4657,5169,5681,6193,6705,7217,7729,8241,8753,9265,9777,10289,10801,11313,11825,12337,12849,13361,13873,14385,14897,15409,15921,16433,16945,17457,17969,18481,18993,19505,20017,20529,21041,21553,22065,22577,23089,23601,24113,24625,25137,25649,26161,26673,27185,27697,28209,28721,29233,29745,30257,30769,31281,31793,32305,32817,33329,33841,34353,34865,35377,35889,36401,36913,37425,37937,38449,38961,39473,39985,40497,41009,41521,42033,42545,43057,43569,44081,44593,45105,45617,46129,46641,47153,47665,48177,48689,49201,49713,50225,50737
9,817,1841,2865,3889,4913,5937,6961,7985,9009,10033,11057,12081,13105,14129,15153,16177,17201,18225,19249,20273,21297,22321,23345,24369,25393,26417,27441,28465,29489,30513,31537,32561,33585,34609,35633,36657,37681,38705,39729,40753,41777,42801,43825,44849,45873,46897,47921,48945,49969,50993,52017,53041,54065,55089,56113,57137,58161,59185,60209,61233,62257,63281,64305,65329,66353,67377,68401,69425,70449,71473,72497,73521,74545,75569,76593,77617,78641,79665,80689,81713,82737,83761,84785,85809,86833,87857,88881,89905,90929,91953,92977,94001,95025,96049,97073,98097,99121,100145,101169,102193
10,1329,3377,5425,7473,9521,11569,13617,15665,17713,19761,21809,23857,25905,27953,30001,32049,34097,36145,38193,40241,42289,44337,46385,48433,50481,52529,54577,56625,58673,60721,62769,64817,66865,68913,70961,73009,75057,77105,79153,81201,83249,85297,87345,89393,91441,93489,95537,97585,99633,101681,103729,105777,107825,109873,111921,113969,116017,118065,120113,122161,124209,126257,128305,130353,132401,134449,136497,138545,140593,142641,144689,146737,148785,150833,152881,154929,156977,159025,161073,163121,165169,167217,169265,171313,173361,175409,177457,179505,181553,183601,185649,187697,189745,191793,193841,195889,197937,199985,202033,204081
