r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,3,11,19,27,35,43,51,59,67,75,83,91,99,107,115,123,131,139,147,155,163,171,179,187,195,203,211,219,227,235,243,251,259,267,275,283,291,299,307,315,323,331,339,347,355,363,371,379,387,395,403,411,419,427,435,443,451,459,467,475,483,491,499,507,515,523,531,539,547,555,563,571,579,587,595,603,611,619,627,635,643,651,659,667,675,683,691,699,707,715,723,731,739,747,755,763,771,779,787,795
3,7,23,39,55,71,87,103,119,135,151,167,183,199,215,231,247,263,279,295,311,327,343,359,375,391,407,423,439,455,471,487,503,519,535,551,567,583,599,615,631,647,663,679,695,711,727,743,759,775,791,807,823,839,855,871,887,903,919,935,951,967,983,999,1015,1031,1047,1063,1079,1095,1111,1127,1143,1159,1175,1191,1207,1223,1239,1255,1271,1287,1303,1319,1335,1351,1367,1383,1399,1415,1431,1447,1463,1479,1495,1511,1527,1543,1559,1575,1591
4,31,63,95,127,159,191,223,255,287,319,351,383,415,447,479,511,543,575,607,639,671,703,735,767,799,831,863,895,927,959,991,1023,1055,1087,1119,1151,1183,1215,1247,1279,1311,1343,1375,1407,1439,1471,1503,1535,1567,1599,1631,1663,1695,1727,1759,1791,1823,1855,1887,1919,1951,1983,2015,2047,2079,2111,2143,2175,2207,2239,2271,2303,2335,2367,2399,2431,2463,2495,2527,2559,2591,2623,2655,2687,2719,2751,2783,2815,2847,2879,2911,2943,2975,3007,3039,3071,3103,3135,3167,3199
5,15,79,143,207,271,335,399,463,527,591,655,719,783,847,911,975,1039,1103,1167,1231,1295,1359,1423,1487,1551,1615,1679,1743,1807,1871,1935,1999,2063,2127,2191,2255,2319,2383,2447,2511,2575,2639,2703,2767,2831,2895,2959,3023,3087,3151,3215,3279,3343,3407,3471,3535,3599,3663,3727,3791,3855,3919,3983,4047,4111,4175,4239,4303,4367,4431,4495,4559,4623,4687,4751,4815,4879,4943,5007,5071,5135,5199,5263,5327,5391,5455,5519,5583,5647,5711,5775,5839,5903,5967,6031,6095,6159,6223,6287,6351
6,111,239,367,495,623,751,879,1007,1135,1263,1391,1519,1647,1775,1903,2031,2159,2287,2415,2543,2671,2799,2927,3055,3183,3311,3439,3567,3695,3823,3951,4079,4207,4335,4463,4591,4719,4847,4975,5103,5231,5359,5487,5615,5743,5871,5999,6127,6255,6383,6511,6639,6767,6895,7023,7151,7279,7407,7535,7663,7791,7919,8047,8175,8303,8431,8559,8687,8815,8943,9071,9199,9327,9455,9583,9711,9839,9967,10095,10223,10351,10479,10607,10735,10863,10991,11119,11247,11375,11503,11631,11759,11887,12015,12143,12271,12399,12527,12655,12783
7,175,431,687,943,1199,1455,1711,1967,2223,2479,2735,2991,3247,3503,3759,4015,4271,4527,4783,5039,5295,5551,5807,6063,6319,6575,6831,7087,7343,7599,7855,8111,8367,8623,8879,9135,9391,9647,9903,10159,10415,10671,10927,11183,11439,11695,11951,12207,12463,12719,12975,13231,13487,13743,13999,14255,14511,14767,15023,15279,15535,15791,16047,16303,16559,16815,17071,17327,17583,17839,18095,18351,18607,18863,19119,19375,19631,19887,20143,20399,20655,20911,21167,21423,21679,21935,22191,22447,22703,22959,23215,23471,23727,23983,24239,24495,24751,25007,25263,25519
8,47,559,1071,1583,2095,2607,3119,3631,4143,4655,5167,5679,6191,6703,7215,7727,8239,8751,9263,9775,10287,10799,11311,11823,12335,12847,13359,13871,14383,14895,15407,15919,16431,16943,17455,17967,18479,18991,19503,20015,20527,21039,21551,22063,22575,23087,23599,24111,24623,25135,25647,26159,26671,27183,27695,28207,28719,29231,29743,30255,30767,31279,31791,32303,32815,33327,33839,34351,34863,35375,35887,36399,36911,37423,37935,38447,38959,39471,39983,40495,41007,41519,42031,42543,43055,43567,44079,44591,45103,45615,46127,46639,47151,47663,48175,48687,49199,49711,50223,50735
9,303,1327,2351,3375,4399,5423,6447,7471,8495,9519,10543,11567,12591,13615,14639,15663,16687,17711,18735,19759,20783,21807,22831,23855,24879,25903,26927,27951,28975,29999,31023,32047,33071,34095,35119,36143,37167,38191,39215,40239,41263,42287,43311,44335,45359,46383,47407,48431,49455,50479,51503,52527,53551,54575,55599,56623,57647,58671,59695,60719,61743,62767,63791,64815,65839,66863,67887,68911,69935,70959,71983,73007,74031,75055,76079,77103,78127,79151,80175,81199,82223,83247,84271,85295,86319,87343,88367,89391,90415,91439,92463,93487,94511,95535,96559,97583,98607,99631,100655,101679
10,815,2863,4911,6959,9007,11055,13103,15151,17199,19247,21295,23343,25391,27439,29487,31535,33583,35631,37679,39727,41775,43823,45871,47919,49967,52015,54063,56111,58159,60207,62255,64303,66351,68399,70447,72495,74543,76591,78639,80687,82735,84783,86831,88879,90927,92975,95023,97071,99119,101167,103215,105263,107311,109359,111407,113455,115503,117551,119599,121647,123695,125743,127791,129839,131887,133935,135983,138031,140079,142127,144175,146223,148271,150319,152367,154415,156463,158511,160559,162607,164655,166703,168751,170799,172847,174895,176943,178991,181039,183087,185135,187183,189231,191279,193327,195375,197423,199471,201519,203567
