r,base_odd,odds_diff
1,1,4
2,3,8
3,7,16
4,31,32
5,15,64
6,111,128
7,175,256
8,47,512
9,303,1024
10,815,2048
11,3887,4096
12,5935,8192
13,1839,16384
14,26415,32768
15,10031,65536
16,108335,131072
17,173871,262144
18,304943,524288
19,567087,1048576
20,1091375,2097152
21,42799,4194304
22,2139951,8388608
23,6334255,16777216
24,14722863,33554432
