r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101
2,3,11,19,27,35,43,51,59,67,75,83,91,99,,,,,,,,,,,,,
3,15,31,47,63,79,95,,,,,,,,,,,,,,,,,,,,
4,23,55,87,,,,,,,,,,,,,,,,,,,,,,,
5,39,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,,,,,,,,,,,,,,,,,,,,,,,,,
7,71,,,,,,,,,,,,,,,,,,,,,,,,,
