r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,5,13,21,29,37,45,53,61,69,77,85,93,101,109,117,125,133,141,149,157,165,173,181,189,197,205,213,221,229,237,245,253,261,269,277,285,293,301,309,317,325,333,341,349,357,365,373,381,389,397,405,413,421,429,437,445,453,461,469,477,485,493,501,509,517,525,533,541,549,557,565,573,581,589,597,605,613,621,629,637,645,653,661,669,677,685,693,701,709,717,725,733,741,749,757,765,773,781,789,797
3,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,497,513,529,545,561,577,593,609,625,641,657,673,689,705,721,737,753,769,785,801,817,833,849,865,881,897,913,929,945,961,977,993,1009,1025,1041,1057,1073,1089,1105,1121,1137,1153,1169,1185,1201,1217,1233,1249,1265,1281,1297,1313,1329,1345,1361,1377,1393,1409,1425,1441,1457,1473,1489,1505,1521,1537,1553,1569,1585
4,9,41,73,105,137,169,201,233,265,297,329,361,393,425,457,489,521,553,585,617,649,681,713,745,777,809,841,873,905,937,969,1001,1033,1065,1097,1129,1161,1193,1225,1257,1289,1321,1353,1385,1417,1449,1481,1513,1545,1577,1609,1641,1673,1705,1737,1769,1801,1833,1865,1897,1929,1961,1993,2025,2057,2089,2121,2153,2185,2217,2249,2281,2313,2345,2377,2409,2441,2473,2505,2537,2569,2601,2633,2665,2697,2729,2761,2793,2825,2857,2889,2921,2953,2985,3017,3049,3081,3113,3145,3177
5,57,121,185,249,313,377,441,505,569,633,697,761,825,889,953,1017,1081,1145,1209,1273,1337,1401,1465,1529,1593,1657,1721,1785,1849,1913,1977,2041,2105,2169,2233,2297,2361,2425,2489,2553,2617,2681,2745,2809,2873,2937,3001,3065,3129,3193,3257,3321,3385,3449,3513,3577,3641,3705,3769,3833,3897,3961,4025,4089,4153,4217,4281,4345,4409,4473,4537,4601,4665,4729,4793,4857,4921,4985,5049,5113,5177,5241,5305,5369,5433,5497,5561,5625,5689,5753,5817,5881,5945,6009,6073,6137,6201,6265,6329,6393
6,25,153,281,409,537,665,793,921,1049,1177,1305,1433,1561,1689,1817,1945,2073,2201,2329,2457,2585,2713,2841,2969,3097,3225,3353,3481,3609,3737,3865,3993,4121,4249,4377,4505,4633,4761,4889,5017,5145,5273,5401,5529,5657,5785,5913,6041,6169,6297,6425,6553,6681,6809,6937,7065,7193,7321,7449,7577,7705,7833,7961,8089,8217,8345,8473,8601,8729,8857,8985,9113,9241,9369,9497,9625,9753,9881,10009,10137,10265,10393,10521,10649,10777,10905,11033,11161,11289,11417,11545,11673,11801,11929,12057,12185,12313,12441,12569,12697
7,217,473,729,985,1241,1497,1753,2009,2265,2521,2777,3033,3289,3545,3801,4057,4313,4569,4825,5081,5337,5593,5849,6105,6361,6617,6873,7129,7385,7641,7897,8153,8409,8665,8921,9177,9433,9689,9945,10201,10457,10713,10969,11225,11481,11737,11993,12249,12505,12761,13017,13273,13529,13785,14041,14297,14553,14809,15065,15321,15577,15833,16089,16345,16601,16857,17113,17369,17625,17881,18137,18393,18649,18905,19161,19417,19673,19929,20185,20441,20697,20953,21209,21465,21721,21977,22233,22489,22745,23001,23257,23513,23769,24025,24281,24537,24793,25049,25305,25561
8,345,857,1369,1881,2393,2905,3417,3929,4441,4953,5465,5977,6489,7001,7513,8025,8537,9049,9561,10073,10585,11097,11609,12121,12633,13145,13657,14169,14681,15193,15705,16217,16729,17241,17753,18265,18777,19289,19801,20313,20825,21337,21849,22361,22873,23385,23897,24409,24921,25433,25945,26457,26969,27481,27993,28505,29017,29529,30041,30553,31065,31577,32089,32601,33113,33625,34137,34649,35161,35673,36185,36697,37209,37721,38233,38745,39257,39769,40281,40793,41305,41817,42329,42841,43353,43865,44377,44889,45401,45913,46425,46937,47449,47961,48473,48985,49497,50009,50521,51033
9,601,1625,2649,3673,4697,5721,6745,7769,8793,9817,10841,11865,12889,13913,14937,15961,16985,18009,19033,20057,21081,22105,23129,24153,25177,26201,27225,28249,29273,30297,31321,32345,33369,34393,35417,36441,37465,38489,39513,40537,41561,42585,43609,44633,45657,46681,47705,48729,49753,50777,51801,52825,53849,54873,55897,56921,57945,58969,59993,61017,62041,63065,64089,65113,66137,67161,68185,69209,70233,71257,72281,73305,74329,75353,76377,77401,78425,79449,80473,81497,82521,83545,84569,85593,86617,87641,88665,89689,90713,91737,92761,93785,94809,95833,96857,97881,98905,99929,100953,101977
10,1113,3161,5209,7257,9305,11353,13401,15449,17497,19545,21593,23641,25689,27737,29785,31833,33881,35929,37977,40025,42073,44121,46169,48217,50265,52313,54361,56409,58457,60505,62553,64601,66649,68697,70745,72793,74841,76889,78937,80985,83033,85081,87129,89177,91225,93273,95321,97369,99417,101465,103513,105561,107609,109657,111705,113753,115801,117849,119897,121945,123993,126041,128089,130137,132185,134233,136281,138329,140377,142425,144473,146521,148569,150617,152665,154713,156761,158809,160857,162905,164953,167001,169049,171097,173145,175193,177241,179289,181337,183385,185433,187481,189529,191577,193625,195673,197721,199769,201817,203865
