r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
11,89,4185,8281,12377,16473,20569,24665,28761,32857,36953,41049,45145,49241,53337,57433,61529,65625,69721,73817,77913,82009,86105,90201,94297,98393,102489,106585,110681,114777,118873,122969,127065,131161,135257,139353,143449,147545,151641,155737,159833,163929,168025,172121,176217,180313,184409,188505,192601,196697,200793,204889,208985,213081,217177,221273,225369,229465,233561,237657,241753,245849,249945,254041,258137,262233,266329,270425,274521,278617,282713,286809,290905,295001,299097,303193,307289,311385,315481,319577,323673,327769,331865,335961,340057,344153,348249,352345,356441,360537,364633,368729,372825,376921,381017,385113,389209,393305,397401,401497,405593
12,6233,14425,22617,30809,39001,47193,55385,63577,71769,79961,88153,96345,104537,112729,120921,129113,137305,145497,153689,161881,170073,178265,186457,194649,202841,211033,219225,227417,235609,243801,251993,260185,268377,276569,284761,292953,301145,309337,317529,325721,333913,342105,350297,358489,366681,374873,383065,391257,399449,407641,415833,424025,432217,440409,448601,456793,464985,473177,481369,489561,497753,505945,514137,522329,530521,538713,546905,555097,563289,571481,579673,587865,596057,604249,612441,620633,628825,637017,645209,653401,661593,669785,677977,686169,694361,702553,710745,718937,727129,735321,743513,751705,759897,768089,776281,784473,792665,800857,809049,817241
13,10329,26713,43097,59481,75865,92249,108633,125017,141401,157785,174169,190553,206937,223321,239705,256089,272473,288857,305241,321625,338009,354393,370777,387161,403545,419929,436313,452697,469081,485465,501849,518233,534617,551001,567385,583769,600153,616537,632921,649305,665689,682073,698457,714841,731225,747609,763993,780377,796761,813145,829529,845913,862297,878681,895065,911449,927833,944217,960601,976985,993369,1009753,1026137,1042521,1058905,1075289,1091673,1108057,1124441,1140825,1157209,1173593,1189977,1206361,1222745,1239129,1255513,1271897,1288281,1304665,1321049,1337433,1353817,1370201,1386585,1402969,1419353,1435737,1452121,1468505,1484889,1501273,1517657,1534041,1550425,1566809,1583193,1599577,1615961,1632345
14,2137,34905,67673,100441,133209,165977,198745,231513,264281,297049,329817,362585,395353,428121,460889,493657,526425,559193,591961,624729,657497,690265,723033,755801,788569,821337,854105,886873,919641,952409,985177,1017945,1050713,1083481,1116249,1149017,1181785,1214553,1247321,1280089,1312857,1345625,1378393,1411161,1443929,1476697,1509465,1542233,1575001,1607769,1640537,1673305,1706073,1738841,1771609,1804377,1837145,1869913,1902681,1935449,1968217,2000985,2033753,2066521,2099289,2132057,2164825,2197593,2230361,2263129,2295897,2328665,2361433,2394201,2426969,2459737,2492505,2525273,2558041,2590809,2623577,2656345,2689113,2721881,2754649,2787417,2820185,2852953,2885721,2918489,2951257,2984025,3016793,3049561,3082329,3115097,3147865,3180633,3213401,3246169
15,18521,84057,149593,215129,280665,346201,411737,477273,542809,608345,673881,739417,804953,870489,936025,1001561,1067097,1132633,1198169,1263705,1329241,1394777,1460313,1525849,1591385,1656921,1722457,1787993,1853529,1919065,1984601,2050137,2115673,2181209,2246745,2312281,2377817,2443353,2508889,2574425,2639961,2705497,2771033,2836569,2902105,2967641,3033177,3098713,3164249,3229785,3295321,3360857,3426393,3491929,3557465,3623001,3688537,3754073,3819609,3885145,3950681,4016217,4081753,4147289,4212825,4278361,4343897,4409433,4474969,4540505,4606041,4671577,4737113,4802649,4868185,4933721,4999257,5064793,5130329,5195865,5261401,5326937,5392473,5458009,5523545,5589081,5654617,5720153,5785689,5851225,5916761,5982297,6047833,6113369,6178905,6244441,6309977,6375513,6441049,6506585
16,116825,247897,378969,510041,641113,772185,903257,1034329,1165401,1296473,1427545,1558617,1689689,1820761,1951833,2082905,2213977,2345049,2476121,2607193,2738265,2869337,3000409,3131481,3262553,3393625,3524697,3655769,3786841,3917913,4048985,4180057,4311129,4442201,4573273,4704345,4835417,4966489,5097561,5228633,5359705,5490777,5621849,5752921,5883993,6015065,6146137,6277209,6408281,6539353,6670425,6801497,6932569,7063641,7194713,7325785,7456857,7587929,7719001,7850073,7981145,8112217,8243289,8374361,8505433,8636505,8767577,8898649,9029721,9160793,9291865,9422937,9554009,9685081,9816153,9947225,10078297,10209369,10340441,10471513,10602585,10733657,10864729,10995801,11126873,11257945,11389017,11520089,11651161,11782233,11913305,12044377,12175449,12306521,12437593,12568665,12699737,12830809,12961881,13092953
17,51289,313433,575577,837721,1099865,1362009,1624153,1886297,2148441,2410585,2672729,2934873,3197017,3459161,3721305,3983449,4245593,4507737,4769881,5032025,5294169,5556313,5818457,6080601,6342745,6604889,6867033,7129177,7391321,7653465,7915609,8177753,8439897,8702041,8964185,9226329,9488473,9750617,10012761,10274905,10537049,10799193,11061337,11323481,11585625,11847769,12109913,12372057,12634201,12896345,13158489,13420633,13682777,13944921,14207065,14469209,14731353,14993497,15255641,15517785,15779929,16042073,16304217,16566361,16828505,17090649,17352793,17614937,17877081,18139225,18401369,18663513,18925657,19187801,19449945,19712089,19974233,20236377,20498521,20760665,21022809,21284953,21547097,21809241,22071385,22333529,22595673,22857817,23119961,23382105,23644249,23906393,24168537,24430681,24692825,24954969,25217113,25479257,25741401,26003545
18,444505,968793,1493081,2017369,2541657,3065945,3590233,4114521,4638809,5163097,5687385,6211673,6735961,7260249,7784537,8308825,8833113,9357401,9881689,10405977,10930265,11454553,11978841,12503129,13027417,13551705,14075993,14600281,15124569,15648857,16173145,16697433,17221721,17746009,18270297,18794585,19318873,19843161,20367449,20891737,21416025,21940313,22464601,22988889,23513177,24037465,24561753,25086041,25610329,26134617,26658905,27183193,27707481,28231769,28756057,29280345,29804633,30328921,30853209,31377497,31901785,32426073,32950361,33474649,33998937,34523225,35047513,35571801,36096089,36620377,37144665,37668953,38193241,38717529,39241817,39766105,40290393,40814681,41338969,41863257,42387545,42911833,43436121,43960409,44484697,45008985,45533273,46057561,46581849,47106137,47630425,48154713,48679001,49203289,49727577,50251865,50776153,51300441,51824729,52349017
19,706649,1755225,2803801,3852377,4900953,5949529,6998105,8046681,9095257,10143833,11192409,12240985,13289561,14338137,15386713,16435289,17483865,18532441,19581017,20629593,21678169,22726745,23775321,24823897,25872473,26921049,27969625,29018201,30066777,31115353,32163929,33212505,34261081,35309657,36358233,37406809,38455385,39503961,40552537,41601113,42649689,43698265,44746841,45795417,46843993,47892569,48941145,49989721,51038297,52086873,53135449,54184025,55232601,56281177,57329753,58378329,59426905,60475481,61524057,62572633,63621209,64669785,65718361,66766937,67815513,68864089,69912665,70961241,72009817,73058393,74106969,75155545,76204121,77252697,78301273,79349849,80398425,81447001,82495577,83544153,84592729,85641305,86689881,87738457,88787033,89835609,90884185,91932761,92981337,94029913,95078489,96127065,97175641,98224217,99272793,,,,,
20,1230937,3328089,5425241,7522393,9619545,11716697,13813849,15911001,18008153,20105305,22202457,24299609,26396761,28493913,30591065,32688217,34785369,36882521,38979673,41076825,43173977,45271129,47368281,49465433,51562585,53659737,55756889,57854041,59951193,62048345,64145497,66242649,68339801,70436953,72534105,74631257,76728409,78825561,80922713,83019865,85117017,87214169,89311321,91408473,93505625,95602777,97699929,99797081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2279513,6473817,10668121,14862425,19056729,23251033,27445337,31639641,35833945,40028249,44222553,48416857,52611161,56805465,60999769,65194073,69388377,73582681,77776985,81971289,86165593,90359897,94554201,98748505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,182361,8570969,16959577,25348185,33736793,42125401,50514009,58902617,67291225,75679833,84068441,92457049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,12765273,29542489,46319705,63096921,79874137,96651353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,21153881,54708313,88262745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4376665,71485529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,37931097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
