r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,1,9,17,25,33,41,49,57,65,73,81,89,97,105,113,121,129,137,145,153,161,169,177,185,193,201,209,217,225,233,241,249,257,265,273,281,289,297,305,313,321,329,337,345,353,361,369,377,385,393,401,409,417,425,433,441,449,457,465,473,481,489,497,505,513,521,529,537,545,553,561,569,577,585,593,601,609,617,625,633,641,649,657,665,673,681,689,697,705,713,721,729,737,745,753,761,769,777,785,793
3,5,21,37,53,69,85,101,117,133,149,165,181,197,213,229,245,261,277,293,309,325,341,357,373,389,405,421,437,453,469,485,501,517,533,549,565,581,597,613,629,645,661,677,693,709,725,741,757,773,789,805,821,837,853,869,885,901,917,933,949,965,981,997,1013,1029,1045,1061,1077,1093,1109,1125,1141,1157,1173,1189,1205,1221,1237,1253,1269,1285,1301,1317,1333,1349,1365,1381,1397,1413,1429,1445,1461,1477,1493,1509,1525,1541,1557,1573,1589
4,13,45,77,109,141,173,205,237,269,301,333,365,397,429,461,493,525,557,589,621,653,685,717,749,781,813,845,877,909,941,973,1005,1037,1069,1101,1133,1165,1197,1229,1261,1293,1325,1357,1389,1421,1453,1485,1517,1549,1581,1613,1645,1677,1709,1741,1773,1805,1837,1869,1901,1933,1965,1997,2029,2061,2093,2125,2157,2189,2221,2253,2285,2317,2349,2381,2413,2445,2477,2509,2541,2573,2605,2637,2669,2701,2733,2765,2797,2829,2861,2893,2925,2957,2989,3021,3053,3085,3117,3149,3181
5,29,93,157,221,285,349,413,477,541,605,669,733,797,861,925,989,1053,1117,1181,1245,1309,1373,1437,1501,1565,1629,1693,1757,1821,1885,1949,2013,2077,2141,2205,2269,2333,2397,2461,2525,2589,2653,2717,2781,2845,2909,2973,3037,3101,3165,3229,3293,3357,3421,3485,3549,3613,3677,3741,3805,3869,3933,3997,4061,4125,4189,4253,4317,4381,4445,4509,4573,4637,4701,4765,4829,4893,4957,5021,5085,5149,5213,5277,5341,5405,5469,5533,5597,5661,5725,5789,5853,5917,5981,6045,6109,6173,6237,6301,6365
6,61,189,317,445,573,701,829,957,1085,1213,1341,1469,1597,1725,1853,1981,2109,2237,2365,2493,2621,2749,2877,3005,3133,3261,3389,3517,3645,3773,3901,4029,4157,4285,4413,4541,4669,4797,4925,5053,5181,5309,5437,5565,5693,5821,5949,6077,6205,6333,6461,6589,6717,6845,6973,7101,7229,7357,7485,7613,7741,7869,7997,8125,8253,8381,8509,8637,8765,8893,9021,9149,9277,9405,9533,9661,9789,9917,10045,10173,10301,10429,10557,10685,10813,10941,11069,11197,11325,11453,11581,11709,11837,11965,12093,12221,12349,12477,12605,12733
7,253,509,765,1021,1277,1533,1789,2045,2301,2557,2813,3069,3325,3581,3837,4093,4349,4605,4861,5117,5373,5629,5885,6141,6397,6653,6909,7165,7421,7677,7933,8189,8445,8701,8957,9213,9469,9725,9981,10237,10493,10749,11005,11261,11517,11773,12029,12285,12541,12797,13053,13309,13565,13821,14077,14333,14589,14845,15101,15357,15613,15869,16125,16381,16637,16893,17149,17405,17661,17917,18173,18429,18685,18941,19197,19453,19709,19965,20221,20477,20733,20989,21245,21501,21757,22013,22269,22525,22781,23037,23293,23549,23805,24061,24317,24573,24829,25085,25341,25597
8,125,637,1149,1661,2173,2685,3197,3709,4221,4733,5245,5757,6269,6781,7293,7805,8317,8829,9341,9853,10365,10877,11389,11901,12413,12925,13437,13949,14461,14973,15485,15997,16509,17021,17533,18045,18557,19069,19581,20093,20605,21117,21629,22141,22653,23165,23677,24189,24701,25213,25725,26237,26749,27261,27773,28285,28797,29309,29821,30333,30845,31357,31869,32381,32893,33405,33917,34429,34941,35453,35965,36477,36989,37501,38013,38525,39037,39549,40061,40573,41085,41597,42109,42621,43133,43645,44157,44669,45181,45693,46205,46717,47229,47741,48253,48765,49277,49789,50301,50813
9,893,1917,2941,3965,4989,6013,7037,8061,9085,10109,11133,12157,13181,14205,15229,16253,17277,18301,19325,20349,21373,22397,23421,24445,25469,26493,27517,28541,29565,30589,31613,32637,33661,34685,35709,36733,37757,38781,39805,40829,41853,42877,43901,44925,45949,46973,47997,49021,50045,51069,52093,53117,54141,55165,56189,57213,58237,59261,60285,61309,62333,63357,64381,65405,66429,67453,68477,69501,70525,71549,72573,73597,74621,75645,76669,77693,78717,79741,80765,81789,82813,83837,84861,85885,86909,87933,88957,89981,91005,92029,93053,94077,95101,96125,97149,98173,99197,100221,101245,102269
10,1405,3453,5501,7549,9597,11645,13693,15741,17789,19837,21885,23933,25981,28029,30077,32125,34173,36221,38269,40317,42365,44413,46461,48509,50557,52605,54653,56701,58749,60797,62845,64893,66941,68989,71037,73085,75133,77181,79229,81277,83325,85373,87421,89469,91517,93565,95613,97661,99709,101757,103805,105853,107901,109949,111997,114045,116093,118141,120189,122237,124285,126333,128381,130429,132477,134525,136573,138621,140669,142717,144765,146813,148861,150909,152957,155005,157053,159101,161149,163197,165245,167293,169341,171389,173437,175485,177533,179581,181629,183677,185725,187773,189821,191869,193917,195965,198013,200061,202109,204157
