r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,3,11,19,27,35,43,51,59,67,75,83,91,99,107,115,123,131,139,147,155,163,171,179,187,195,203,211,219,227,235,243,251,259,267,275,283,291,299,307,315,323,331,339,347,355,363,371,379,387,395,403,411,419,427,435,443,451,459,467,475,483,491,499,507,515,523,531,539,547,555,563,571,579,587,595,603,611,619,627,635,643,651,659,667,675,683,691,699,707,715,723,731,739,747,755,763,771,779,787,795
3,7,23,39,55,71,87,103,119,135,151,167,183,199,215,231,247,263,279,295,311,327,343,359,375,391,407,423,439,455,471,487,503,519,535,551,567,583,599,615,631,647,663,679,695,711,727,743,759,775,791,807,823,839,855,871,887,903,919,935,951,967,983,999,1015,1031,1047,1063,1079,1095,1111,1127,1143,1159,1175,1191,1207,1223,1239,1255,1271,1287,1303,1319,1335,1351,1367,1383,1399,1415,1431,1447,1463,1479,1495,1511,1527,1543,1559,1575,1591
4,15,47,79,111,143,175,207,239,271,303,335,367,399,431,463,495,527,559,591,623,655,687,719,751,783,815,847,879,911,943,975,1007,1039,1071,1103,1135,1167,1199,1231,1263,1295,1327,1359,1391,1423,1455,1487,1519,1551,1583,1615,1647,1679,1711,1743,1775,1807,1839,1871,1903,1935,1967,1999,2031,2063,2095,2127,2159,2191,2223,2255,2287,2319,2351,2383,2415,2447,2479,2511,2543,2575,2607,2639,2671,2703,2735,2767,2799,2831,2863,2895,2927,2959,2991,3023,3055,3087,3119,3151,3183
5,31,95,159,223,287,351,415,479,543,607,671,735,799,863,927,991,1055,1119,1183,1247,1311,1375,1439,1503,1567,1631,1695,1759,1823,1887,1951,2015,2079,2143,2207,2271,2335,2399,2463,2527,2591,2655,2719,2783,2847,2911,2975,3039,3103,3167,3231,3295,3359,3423,3487,3551,3615,3679,3743,3807,3871,3935,3999,4063,4127,4191,4255,4319,4383,4447,4511,4575,4639,4703,4767,4831,4895,4959,5023,5087,5151,5215,5279,5343,5407,5471,5535,5599,5663,5727,5791,5855,5919,5983,6047,6111,6175,6239,6303,6367
6,63,191,319,447,575,703,831,959,1087,1215,1343,1471,1599,1727,1855,1983,2111,2239,2367,2495,2623,2751,2879,3007,3135,3263,3391,3519,3647,3775,3903,4031,4159,4287,4415,4543,4671,4799,4927,5055,5183,5311,5439,5567,5695,5823,5951,6079,6207,6335,6463,6591,6719,6847,6975,7103,7231,7359,7487,7615,7743,7871,7999,8127,8255,8383,8511,8639,8767,8895,9023,9151,9279,9407,9535,9663,9791,9919,10047,10175,10303,10431,10559,10687,10815,10943,11071,11199,11327,11455,11583,11711,11839,11967,12095,12223,12351,12479,12607,12735
7,127,383,639,895,1151,1407,1663,1919,2175,2431,2687,2943,3199,3455,3711,3967,4223,4479,4735,4991,5247,5503,5759,6015,6271,6527,6783,7039,7295,7551,7807,8063,8319,8575,8831,9087,9343,9599,9855,10111,10367,10623,10879,11135,11391,11647,11903,12159,12415,12671,12927,13183,13439,13695,13951,14207,14463,14719,14975,15231,15487,15743,15999,16255,16511,16767,17023,17279,17535,17791,18047,18303,18559,18815,19071,19327,19583,19839,20095,20351,20607,20863,21119,21375,21631,21887,22143,22399,22655,22911,23167,23423,23679,23935,24191,24447,24703,24959,25215,25471
8,255,767,1279,1791,2303,2815,3327,3839,4351,4863,5375,5887,6399,6911,7423,7935,8447,8959,9471,9983,10495,11007,11519,12031,12543,13055,13567,14079,14591,15103,15615,16127,16639,17151,17663,18175,18687,19199,19711,20223,20735,21247,21759,22271,22783,23295,23807,24319,24831,25343,25855,26367,26879,27391,27903,28415,28927,29439,29951,30463,30975,31487,31999,32511,33023,33535,34047,34559,35071,35583,36095,36607,37119,37631,38143,38655,39167,39679,40191,40703,41215,41727,42239,42751,43263,43775,44287,44799,45311,45823,46335,46847,47359,47871,48383,48895,49407,49919,50431,50943
9,511,1535,2559,3583,4607,5631,6655,7679,8703,9727,10751,11775,12799,13823,14847,15871,16895,17919,18943,19967,20991,22015,23039,24063,25087,26111,27135,28159,29183,30207,31231,32255,33279,34303,35327,36351,37375,38399,39423,40447,41471,42495,43519,44543,45567,46591,47615,48639,49663,50687,51711,52735,53759,54783,55807,56831,57855,58879,59903,60927,61951,62975,63999,65023,66047,67071,68095,69119,70143,71167,72191,73215,74239,75263,76287,77311,78335,79359,80383,81407,82431,83455,84479,85503,86527,87551,88575,89599,90623,91647,92671,93695,94719,95743,96767,97791,98815,99839,100863,101887
10,1023,3071,5119,7167,9215,11263,13311,15359,17407,19455,21503,23551,25599,27647,29695,31743,33791,35839,37887,39935,41983,44031,46079,48127,50175,52223,54271,56319,58367,60415,62463,64511,66559,68607,70655,72703,74751,76799,78847,80895,82943,84991,87039,89087,91135,93183,95231,97279,99327,101375,103423,105471,107519,109567,111615,113663,115711,117759,119807,121855,123903,125951,127999,130047,132095,134143,136191,138239,140287,142335,144383,146431,148479,150527,152575,154623,156671,158719,160767,162815,164863,166911,168959,171007,173055,175103,177151,179199,181247,183295,185343,187391,189439,191487,193535,195583,197631,199679,201727,203775
