r,base_odd,odds_diff
1,3,4
2,1,8
3,5,16
4,13,32
5,61,64
6,29,128
7,221,256
8,349,512
9,605,1024
10,93,2048
11,3165,4096
12,1117,8192
13,5213,16384
14,13405,32768
15,62557,65536
16,29789,131072
17,226397,262144
18,357469,524288
19,619613,1048576
20,95325,2097152
21,3241053,4194304
22,1143901,8388608
