r,base_odd,odds_diff
1,3,4
2,1,8
3,13,16
4,5,32
5,53,64
6,21,128
7,213,256
8,85,512
9,853,1024
10,341,2048
11,3413,4096
12,1365,8192
13,13653,16384
14,5461,32768
15,54613,65536
16,21845,131072
17,218453,262144
18,87381,524288
19,873813,1048576
20,349525,2097152
21,3495253,4194304
22,1398101,8388608
