r,base_odd,odds_diff
1,1,4
2,3,8
3,7,16
4,15,32
5,31,64
6,63,128
7,127,256
8,255,512
9,511,1024
10,1023,2048
11,2047,4096
12,4095,8192
13,8191,16384
14,16383,32768
15,32767,65536
16,65535,131072
17,131071,262144
18,262143,524288
