r,base_odd,odds_diff
1,3,4
2,1,8
3,5,16
4,13,32
5,29,64
6,61,128
7,253,256
8,125,512
9,893,1024
10,1405,2048
11,2429,4096
12,4477,8192
13,8573,16384
14,381,32768
15,49533,65536
16,16765,131072
17,82301,262144
18,213373,524288
19,475517,1048576
20,999805,2097152
21,4145533,4194304
22,2048381,8388608
23,14631293,16777216
24,23019901,33554432
