r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,3,11,19,27,35,43,51,59,67,75,83,91,99,107,115,123,131,139,147,155,163,171,179,187,195,203,211,219,227,235,243,251,259,267,275,283,291,299,307,315,323,331,339,347,355,363,371,379,387,395,403,411,419,427,435,443,451,459,467,475,483,491,499,507,515,523,531,539,547,555,563,571,579,587,595,603,611,619,627,635,643,651,659,667,675,683,691,699,707,715,723,731,739,747,755,763,771,779,787,795
3,15,31,47,63,79,95,111,127,143,159,175,191,207,223,239,255,271,287,303,319,335,351,367,383,399,415,431,447,463,479,495,511,527,543,559,575,591,607,623,639,655,671,687,703,719,735,751,767,783,799,815,831,847,863,879,895,911,927,943,959,975,991,1007,1023,1039,1055,1071,1087,1103,1119,1135,1151,1167,1183,1199,1215,1231,1247,1263,1279,1295,1311,1327,1343,1359,1375,1391,1407,1423,1439,1455,1471,1487,1503,1519,1535,1551,1567,1583,1599
4,23,55,87,119,151,183,215,247,279,311,343,375,407,439,471,503,535,567,599,631,663,695,727,759,791,823,855,887,919,951,983,1015,1047,1079,1111,1143,1175,1207,1239,1271,1303,1335,1367,1399,1431,1463,1495,1527,1559,1591,1623,1655,1687,1719,1751,1783,1815,1847,1879,1911,1943,1975,2007,2039,2071,2103,2135,2167,2199,2231,2263,2295,2327,2359,2391,2423,2455,2487,2519,2551,2583,2615,2647,2679,2711,2743,2775,2807,2839,2871,2903,2935,2967,2999,3031,3063,3095,3127,3159,3191
5,7,71,135,199,263,327,391,455,519,583,647,711,775,839,903,967,1031,1095,1159,1223,1287,1351,1415,1479,1543,1607,1671,1735,1799,1863,1927,1991,2055,2119,2183,2247,2311,2375,2439,2503,2567,2631,2695,2759,2823,2887,2951,3015,3079,3143,3207,3271,3335,3399,3463,3527,3591,3655,3719,3783,3847,3911,3975,4039,4103,4167,4231,4295,4359,4423,4487,4551,4615,4679,4743,4807,4871,4935,4999,5063,5127,5191,5255,5319,5383,5447,5511,5575,5639,5703,5767,5831,5895,5959,6023,6087,6151,6215,6279,6343
6,39,167,295,423,551,679,807,935,1063,1191,1319,1447,1575,1703,1831,1959,2087,2215,2343,2471,2599,2727,2855,2983,3111,3239,3367,3495,3623,3751,3879,4007,4135,4263,4391,4519,4647,4775,4903,5031,5159,5287,5415,5543,5671,5799,5927,6055,6183,6311,6439,6567,6695,6823,6951,7079,7207,7335,7463,7591,7719,7847,7975,8103,8231,8359,8487,8615,8743,8871,8999,9127,9255,9383,9511,9639,9767,9895,10023,10151,10279,10407,10535,10663,10791,10919,11047,11175,11303,11431,11559,11687,11815,11943,12071,12199,12327,12455,12583,12711
7,103,359,615,871,1127,1383,1639,1895,2151,2407,2663,2919,3175,3431,3687,3943,4199,4455,4711,4967,5223,5479,5735,5991,6247,6503,6759,7015,7271,7527,7783,8039,8295,8551,8807,9063,9319,9575,9831,10087,10343,10599,10855,11111,11367,11623,11879,12135,12391,12647,12903,13159,13415,13671,13927,14183,14439,14695,14951,15207,15463,15719,15975,16231,16487,16743,16999,17255,17511,17767,18023,18279,18535,18791,19047,19303,19559,19815,20071,20327,20583,20839,21095,21351,21607,21863,22119,22375,22631,22887,23143,23399,23655,23911,24167,24423,24679,24935,25191,25447
8,231,743,1255,1767,2279,2791,3303,3815,4327,4839,5351,5863,6375,6887,7399,7911,8423,8935,9447,9959,10471,10983,11495,12007,12519,13031,13543,14055,14567,15079,15591,16103,16615,17127,17639,18151,18663,19175,19687,20199,20711,21223,21735,22247,22759,23271,23783,24295,24807,25319,25831,26343,26855,27367,27879,28391,28903,29415,29927,30439,30951,31463,31975,32487,32999,33511,34023,34535,35047,35559,36071,36583,37095,37607,38119,38631,39143,39655,40167,40679,41191,41703,42215,42727,43239,43751,44263,44775,45287,45799,46311,46823,47335,47847,48359,48871,49383,49895,50407,50919
9,487,1511,2535,3559,4583,5607,6631,7655,8679,9703,10727,11751,12775,13799,14823,15847,16871,17895,18919,19943,20967,21991,23015,24039,25063,26087,27111,28135,29159,30183,31207,32231,33255,34279,35303,36327,37351,38375,39399,40423,41447,42471,43495,44519,45543,46567,47591,48615,49639,50663,51687,52711,53735,54759,55783,56807,57831,58855,59879,60903,61927,62951,63975,64999,66023,67047,68071,69095,70119,71143,72167,73191,74215,75239,76263,77287,78311,79335,80359,81383,82407,83431,84455,85479,86503,87527,88551,89575,90599,91623,92647,93671,94695,95719,96743,97767,98791,99815,100839,101863
10,2023,4071,6119,8167,10215,12263,14311,16359,18407,20455,22503,24551,26599,28647,30695,32743,34791,36839,38887,40935,42983,45031,47079,49127,51175,53223,55271,57319,59367,61415,63463,65511,67559,69607,71655,73703,75751,77799,79847,81895,83943,85991,88039,90087,92135,94183,96231,98279,100327,102375,104423,106471,108519,110567,112615,114663,116711,118759,120807,122855,124903,126951,128999,131047,133095,135143,137191,139239,141287,143335,145383,147431,149479,151527,153575,155623,157671,159719,161767,163815,165863,167911,169959,172007,174055,176103,178151,180199,182247,184295,186343,188391,190439,192487,194535,196583,198631,200679,202727,204775
