r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,1,9,17,25,33,41,49,57,65,73,81,89,97,105,113,121,129,137,145,153,161,169,177,185,193,201,209,217,225,233,241,249,257,265,273,281,289,297,305,313,321,329,337,345,353,361,369,377,385,393,401,409,417,425,433,441,449,457,465,473,481,489,497,505,513,521,529,537,545,553,561,569,577,585,593,601,609,617,625,633,641,649,657,665,673,681,689,697,705,713,721,729,737,745,753,761,769,777,785,793
3,13,29,45,61,77,93,109,125,141,157,173,189,205,221,237,253,269,285,301,317,333,349,365,381,397,413,429,445,461,477,493,509,525,541,557,573,589,605,621,637,653,669,685,701,717,733,749,765,781,797,813,829,845,861,877,893,909,925,941,957,973,989,1005,1021,1037,1053,1069,1085,1101,1117,1133,1149,1165,1181,1197,1213,1229,1245,1261,1277,1293,1309,1325,1341,1357,1373,1389,1405,1421,1437,1453,1469,1485,1501,1517,1533,1549,1565,1581,1597
4,21,53,85,117,149,181,213,245,277,309,341,373,405,437,469,501,533,565,597,629,661,693,725,757,789,821,853,885,917,949,981,1013,1045,1077,1109,1141,1173,1205,1237,1269,1301,1333,1365,1397,1429,1461,1493,1525,1557,1589,1621,1653,1685,1717,1749,1781,1813,1845,1877,1909,1941,1973,2005,2037,2069,2101,2133,2165,2197,2229,2261,2293,2325,2357,2389,2421,2453,2485,2517,2549,2581,2613,2645,2677,2709,2741,2773,2805,2837,2869,2901,2933,2965,2997,3029,3061,3093,3125,3157,3189
5,5,69,133,197,261,325,389,453,517,581,645,709,773,837,901,965,1029,1093,1157,1221,1285,1349,1413,1477,1541,1605,1669,1733,1797,1861,1925,1989,2053,2117,2181,2245,2309,2373,2437,2501,2565,2629,2693,2757,2821,2885,2949,3013,3077,3141,3205,3269,3333,3397,3461,3525,3589,3653,3717,3781,3845,3909,3973,4037,4101,4165,4229,4293,4357,4421,4485,4549,4613,4677,4741,4805,4869,4933,4997,5061,5125,5189,5253,5317,5381,5445,5509,5573,5637,5701,5765,5829,5893,5957,6021,6085,6149,6213,6277,6341
6,37,165,293,421,549,677,805,933,1061,1189,1317,1445,1573,1701,1829,1957,2085,2213,2341,2469,2597,2725,2853,2981,3109,3237,3365,3493,3621,3749,3877,4005,4133,4261,4389,4517,4645,4773,4901,5029,5157,5285,5413,5541,5669,5797,5925,6053,6181,6309,6437,6565,6693,6821,6949,7077,7205,7333,7461,7589,7717,7845,7973,8101,8229,8357,8485,8613,8741,8869,8997,9125,9253,9381,9509,9637,9765,9893,10021,10149,10277,10405,10533,10661,10789,10917,11045,11173,11301,11429,11557,11685,11813,11941,12069,12197,12325,12453,12581,12709
7,101,357,613,869,1125,1381,1637,1893,2149,2405,2661,2917,3173,3429,3685,3941,4197,4453,4709,4965,5221,5477,5733,5989,6245,6501,6757,7013,7269,7525,7781,8037,8293,8549,8805,9061,9317,9573,9829,10085,10341,10597,10853,11109,11365,11621,11877,12133,12389,12645,12901,13157,13413,13669,13925,14181,14437,14693,14949,15205,15461,15717,15973,16229,16485,16741,16997,17253,17509,17765,18021,18277,18533,18789,19045,19301,19557,19813,20069,20325,20581,20837,21093,21349,21605,21861,22117,22373,22629,22885,23141,23397,23653,23909,24165,24421,24677,24933,25189,25445
8,229,741,1253,1765,2277,2789,3301,3813,4325,4837,5349,5861,6373,6885,7397,7909,8421,8933,9445,9957,10469,10981,11493,12005,12517,13029,13541,14053,14565,15077,15589,16101,16613,17125,17637,18149,18661,19173,19685,20197,20709,21221,21733,22245,22757,23269,23781,24293,24805,25317,25829,26341,26853,27365,27877,28389,28901,29413,29925,30437,30949,31461,31973,32485,32997,33509,34021,34533,35045,35557,36069,36581,37093,37605,38117,38629,39141,39653,40165,40677,41189,41701,42213,42725,43237,43749,44261,44773,45285,45797,46309,46821,47333,47845,48357,48869,49381,49893,50405,50917
9,997,2021,3045,4069,5093,6117,7141,8165,9189,10213,11237,12261,13285,14309,15333,16357,17381,18405,19429,20453,21477,22501,23525,24549,25573,26597,27621,28645,29669,30693,31717,32741,33765,34789,35813,36837,37861,38885,39909,40933,41957,42981,44005,45029,46053,47077,48101,49125,50149,51173,52197,53221,54245,55269,56293,57317,58341,59365,60389,61413,62437,63461,64485,65509,66533,67557,68581,69605,70629,71653,72677,73701,74725,75749,76773,77797,78821,79845,80869,81893,82917,83941,84965,85989,87013,88037,89061,90085,91109,92133,93157,94181,95205,96229,97253,98277,99301,100325,101349,102373
10,485,2533,4581,6629,8677,10725,12773,14821,16869,18917,20965,23013,25061,27109,29157,31205,33253,35301,37349,39397,41445,43493,45541,47589,49637,51685,53733,55781,57829,59877,61925,63973,66021,68069,70117,72165,74213,76261,78309,80357,82405,84453,86501,88549,90597,92645,94693,96741,98789,100837,102885,104933,106981,109029,111077,113125,115173,117221,119269,121317,123365,125413,127461,129509,131557,133605,135653,137701,139749,141797,143845,145893,147941,149989,152037,154085,156133,158181,160229,162277,164325,166373,168421,170469,172517,174565,176613,178661,180709,182757,184805,186853,188901,190949,192997,195045,197093,199141,201189,203237
