r,base_odd,odds_diff
1,3,4
2,5,8
3,9,16
4,17,32
5,33,64
6,65,128
7,1,256
8,385,512
9,641,1024
10,1153,2048
11,2177,4096
12,4225,8192
13,8321,16384
14,129,32768
15,49281,65536
16,82049,131072
17,147585,262144
18,278657,524288
19,540801,1048576
20,1065089,2097152
21,16513,4194304
22,6307969,8388608
23,10502273,16777216
24,18890881,33554432
