r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,5,13,21,29,37,45,53,61,69,77,85,93,101,109,117,125,133,141,149,157,165,173,181,189,197,205,213,221,229,237,245,253,261,269,277,285,293,301,309,317,325,333,341,349,357,365,373,381,389,397,405,413,421,429,437,445,453,461,469,477,485,493,501,509,517,525,533,541,549,557,565,573,581,589,597,605,613,621,629,637,645,653,661,669,677,685,693,701,709,717,725,733,741,749,757,765,773,781,789,797
3,9,25,41,57,73,89,105,121,137,153,169,185,201,217,233,249,265,281,297,313,329,345,361,377,393,409,425,441,457,473,489,505,521,537,553,569,585,601,617,633,649,665,681,697,713,729,745,761,777,793,809,825,841,857,873,889,905,921,937,953,969,985,1001,1017,1033,1049,1065,1081,1097,1113,1129,1145,1161,1177,1193,1209,1225,1241,1257,1273,1289,1305,1321,1337,1353,1369,1385,1401,1417,1433,1449,1465,1481,1497,1513,1529,1545,1561,1577,1593
4,17,49,81,113,145,177,209,241,273,305,337,369,401,433,465,497,529,561,593,625,657,689,721,753,785,817,849,881,913,945,977,1009,1041,1073,1105,1137,1169,1201,1233,1265,1297,1329,1361,1393,1425,1457,1489,1521,1553,1585,1617,1649,1681,1713,1745,1777,1809,1841,1873,1905,1937,1969,2001,2033,2065,2097,2129,2161,2193,2225,2257,2289,2321,2353,2385,2417,2449,2481,2513,2545,2577,2609,2641,2673,2705,2737,2769,2801,2833,2865,2897,2929,2961,2993,3025,3057,3089,3121,3153,3185
5,33,97,161,225,289,353,417,481,545,609,673,737,801,865,929,993,1057,1121,1185,1249,1313,1377,1441,1505,1569,1633,1697,1761,1825,1889,1953,2017,2081,2145,2209,2273,2337,2401,2465,2529,2593,2657,2721,2785,2849,2913,2977,3041,3105,3169,3233,3297,3361,3425,3489,3553,3617,3681,3745,3809,3873,3937,4001,4065,4129,4193,4257,4321,4385,4449,4513,4577,4641,4705,4769,4833,4897,4961,5025,5089,5153,5217,5281,5345,5409,5473,5537,5601,5665,5729,5793,5857,5921,5985,6049,6113,6177,6241,6305,6369
6,1,129,257,385,513,641,769,897,1025,1153,1281,1409,1537,1665,1793,1921,2049,2177,2305,2433,2561,2689,2817,2945,3073,3201,3329,3457,3585,3713,3841,3969,4097,4225,4353,4481,4609,4737,4865,4993,5121,5249,5377,5505,5633,5761,5889,6017,6145,6273,6401,6529,6657,6785,6913,7041,7169,7297,7425,7553,7681,7809,7937,8065,8193,8321,8449,8577,8705,8833,8961,9089,9217,9345,9473,9601,9729,9857,9985,10113,10241,10369,10497,10625,10753,10881,11009,11137,11265,11393,11521,11649,11777,11905,12033,12161,12289,12417,12545,12673
7,193,449,705,961,1217,1473,1729,1985,2241,2497,2753,3009,3265,3521,3777,4033,4289,4545,4801,5057,5313,5569,5825,6081,6337,6593,6849,7105,7361,7617,7873,8129,8385,8641,8897,9153,9409,9665,9921,10177,10433,10689,10945,11201,11457,11713,11969,12225,12481,12737,12993,13249,13505,13761,14017,14273,14529,14785,15041,15297,15553,15809,16065,16321,16577,16833,17089,17345,17601,17857,18113,18369,18625,18881,19137,19393,19649,19905,20161,20417,20673,20929,21185,21441,21697,21953,22209,22465,22721,22977,23233,23489,23745,24001,24257,24513,24769,25025,25281,25537
8,321,833,1345,1857,2369,2881,3393,3905,4417,4929,5441,5953,6465,6977,7489,8001,8513,9025,9537,10049,10561,11073,11585,12097,12609,13121,13633,14145,14657,15169,15681,16193,16705,17217,17729,18241,18753,19265,19777,20289,20801,21313,21825,22337,22849,23361,23873,24385,24897,25409,25921,26433,26945,27457,27969,28481,28993,29505,30017,30529,31041,31553,32065,32577,33089,33601,34113,34625,35137,35649,36161,36673,37185,37697,38209,38721,39233,39745,40257,40769,41281,41793,42305,42817,43329,43841,44353,44865,45377,45889,46401,46913,47425,47937,48449,48961,49473,49985,50497,51009
9,577,1601,2625,3649,4673,5697,6721,7745,8769,9793,10817,11841,12865,13889,14913,15937,16961,17985,19009,20033,21057,22081,23105,24129,25153,26177,27201,28225,29249,30273,31297,32321,33345,34369,35393,36417,37441,38465,39489,40513,41537,42561,43585,44609,45633,46657,47681,48705,49729,50753,51777,52801,53825,54849,55873,56897,57921,58945,59969,60993,62017,63041,64065,65089,66113,67137,68161,69185,70209,71233,72257,73281,74305,75329,76353,77377,78401,79425,80449,81473,82497,83521,84545,85569,86593,87617,88641,89665,90689,91713,92737,93761,94785,95809,96833,97857,98881,99905,100929,101953
10,1089,3137,5185,7233,9281,11329,13377,15425,17473,19521,21569,23617,25665,27713,29761,31809,33857,35905,37953,40001,42049,44097,46145,48193,50241,52289,54337,56385,58433,60481,62529,64577,66625,68673,70721,72769,74817,76865,78913,80961,83009,85057,87105,89153,91201,93249,95297,97345,99393,101441,103489,105537,107585,109633,111681,113729,115777,117825,119873,121921,123969,126017,128065,130113,132161,134209,136257,138305,140353,142401,144449,146497,148545,150593,152641,154689,156737,158785,160833,162881,164929,166977,169025,171073,173121,175169,177217,179265,181313,183361,185409,187457,189505,191553,193601,195649,197697,199745,201793,203841
