r,base_odd,odds_diff
1,1,4
2,7,8
3,3,16
4,11,32
5,27,64
6,123,128
7,187,256
8,59,512
9,827,1024
10,1339,2048
11,2363,4096
12,315,8192
13,4411,16384
14,28987,32768
15,12603,65536
16,45371,131072
17,110907,262144
18,504123,524288
19,766267,1048576
20,241979,2097152
21,3387707,4194304
22,5484859,8388608
23,9679163,16777216
24,1290555,33554432
25,18067771,67108864
