r,base_odd,odds_diff
1,3,4
2,5,8
3,9,16
4,1,32
5,49,64
6,81,128
7,145,256
8,17,512
9,785,1024
10,1297,2048
11,2321,4096
12,273,8192
13,12561,16384
14,20753,32768
15,37137,65536
16,4369,131072
17,200977,262144
18,332049,524288
19,594193,1048576
20,69905,2097152
21,3215633,4194304
22,5312785,8388608
23,9507089,16777216
24,1118481,33554432
