r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,5,13,21,29,37,45,53,61,69,77,85,93,101,109,117,125,133,141,149,157,165,173,181,189,197,205,213,221,229,237,245,253,261,269,277,285,293,301,309,317,325,333,341,349,357,365,373,381,389,397,405,413,421,429,437,445,453,461,469,477,485,493,501,509,517,525,533,541,549,557,565,573,581,589,597,605,613,621,629,637,645,653,661,669,677,685,693,701,709,717,725,733,741,749,757,765,773,781,789,797
3,9,25,41,57,73,89,105,121,137,153,169,185,201,217,233,249,265,281,297,313,329,345,361,377,393,409,425,441,457,473,489,505,521,537,553,569,585,601,617,633,649,665,681,697,713,729,745,761,777,793,809,825,841,857,873,889,905,921,937,953,969,985,1001,1017,1033,1049,1065,1081,1097,1113,1129,1145,1161,1177,1193,1209,1225,1241,1257,1273,1289,1305,1321,1337,1353,1369,1385,1401,1417,1433,1449,1465,1481,1497,1513,1529,1545,1561,1577,1593
4,17,49,81,113,145,177,209,241,273,305,337,369,401,433,465,497,529,561,593,625,657,689,721,753,785,817,849,881,913,945,977,1009,1041,1073,1105,1137,1169,1201,1233,1265,1297,1329,1361,1393,1425,1457,1489,1521,1553,1585,1617,1649,1681,1713,1745,1777,1809,1841,1873,1905,1937,1969,2001,2033,2065,2097,2129,2161,2193,2225,2257,2289,2321,2353,2385,2417,2449,2481,2513,2545,2577,2609,2641,2673,2705,2737,2769,2801,2833,2865,2897,2929,2961,2993,3025,3057,3089,3121,3153,3185
5,33,97,161,225,289,353,417,481,545,609,673,737,801,865,929,993,1057,1121,1185,1249,1313,1377,1441,1505,1569,1633,1697,1761,1825,1889,1953,2017,2081,2145,2209,2273,2337,2401,2465,2529,2593,2657,2721,2785,2849,2913,2977,3041,3105,3169,3233,3297,3361,3425,3489,3553,3617,3681,3745,3809,3873,3937,4001,4065,4129,4193,4257,4321,4385,4449,4513,4577,4641,4705,4769,4833,4897,4961,5025,5089,5153,5217,5281,5345,5409,5473,5537,5601,5665,5729,5793,5857,5921,5985,6049,6113,6177,6241,6305,6369
6,65,193,321,449,577,705,833,961,1089,1217,1345,1473,1601,1729,1857,1985,2113,2241,2369,2497,2625,2753,2881,3009,3137,3265,3393,3521,3649,3777,3905,4033,4161,4289,4417,4545,4673,4801,4929,5057,5185,5313,5441,5569,5697,5825,5953,6081,6209,6337,6465,6593,6721,6849,6977,7105,7233,7361,7489,7617,7745,7873,8001,8129,8257,8385,8513,8641,8769,8897,9025,9153,9281,9409,9537,9665,9793,9921,10049,10177,10305,10433,10561,10689,10817,10945,11073,11201,11329,11457,11585,11713,11841,11969,12097,12225,12353,12481,12609,12737
7,1,257,513,769,1025,1281,1537,1793,2049,2305,2561,2817,3073,3329,3585,3841,4097,4353,4609,4865,5121,5377,5633,5889,6145,6401,6657,6913,7169,7425,7681,7937,8193,8449,8705,8961,9217,9473,9729,9985,10241,10497,10753,11009,11265,11521,11777,12033,12289,12545,12801,13057,13313,13569,13825,14081,14337,14593,14849,15105,15361,15617,15873,16129,16385,16641,16897,17153,17409,17665,17921,18177,18433,18689,18945,19201,19457,19713,19969,20225,20481,20737,20993,21249,21505,21761,22017,22273,22529,22785,23041,23297,23553,23809,24065,24321,24577,24833,25089,25345
8,385,897,1409,1921,2433,2945,3457,3969,4481,4993,5505,6017,6529,7041,7553,8065,8577,9089,9601,10113,10625,11137,11649,12161,12673,13185,13697,14209,14721,15233,15745,16257,16769,17281,17793,18305,18817,19329,19841,20353,20865,21377,21889,22401,22913,23425,23937,24449,24961,25473,25985,26497,27009,27521,28033,28545,29057,29569,30081,30593,31105,31617,32129,32641,33153,33665,34177,34689,35201,35713,36225,36737,37249,37761,38273,38785,39297,39809,40321,40833,41345,41857,42369,42881,43393,43905,44417,44929,45441,45953,46465,46977,47489,48001,48513,49025,49537,50049,50561,51073
9,641,1665,2689,3713,4737,5761,6785,7809,8833,9857,10881,11905,12929,13953,14977,16001,17025,18049,19073,20097,21121,22145,23169,24193,25217,26241,27265,28289,29313,30337,31361,32385,33409,34433,35457,36481,37505,38529,39553,40577,41601,42625,43649,44673,45697,46721,47745,48769,49793,50817,51841,52865,53889,54913,55937,56961,57985,59009,60033,61057,62081,63105,64129,65153,66177,67201,68225,69249,70273,71297,72321,73345,74369,75393,76417,77441,78465,79489,80513,81537,82561,83585,84609,85633,86657,87681,88705,89729,90753,91777,92801,93825,94849,95873,96897,97921,98945,99969,100993,102017
10,1153,3201,5249,7297,9345,11393,13441,15489,17537,19585,21633,23681,25729,27777,29825,31873,33921,35969,38017,40065,42113,44161,46209,48257,50305,52353,54401,56449,58497,60545,62593,64641,66689,68737,70785,72833,74881,76929,78977,81025,83073,85121,87169,89217,91265,93313,95361,97409,99457,101505,103553,105601,107649,109697,111745,113793,115841,117889,119937,121985,124033,126081,128129,130177,132225,134273,136321,138369,140417,142465,144513,146561,148609,150657,152705,154753,156801,158849,160897,162945,164993,167041,169089,171137,173185,175233,177281,179329,181377,183425,185473,187521,189569,191617,193665,195713,197761,199809,201857,203905
