r,base_odd,odds_diff
1,3,4
2,5,8
3,1,16
4,25,32
5,9,64
6,41,128
7,233,256
8,361,512
9,617,1024
10,1129,2048
11,2153,4096
12,105,8192
13,12393,16384
14,20585,32768
15,4201,65536
16,102505,131072
17,36969,262144
18,168041,524288
19,954473,1048576
20,1478761,2097152
21,2527337,4194304
22,4624489,8388608
23,8818793,16777216
24,430185,33554432
