r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,3,11,19,27,35,43,51,59,67,75,83,91,99,107,115,123,131,139,147,155,163,171,179,187,195,203,211,219,227,235,243,251,259,267,275,283,291,299,307,315,323,331,339,347,355,363,371,379,387,395,403,411,419,427,435,443,451,459,467,475,483,491,499,507,515,523,531,539,547,555,563,571,579,587,595,603,611,619,627,635,643,651,659,667,675,683,691,699,707,715,723,731,739,747,755,763,771,779,787,795
3,7,23,39,55,71,87,103,119,135,151,167,183,199,215,231,247,263,279,295,311,327,343,359,375,391,407,423,439,455,471,487,503,519,535,551,567,583,599,615,631,647,663,679,695,711,727,743,759,775,791,807,823,839,855,871,887,903,919,935,951,967,983,999,1015,1031,1047,1063,1079,1095,1111,1127,1143,1159,1175,1191,1207,1223,1239,1255,1271,1287,1303,1319,1335,1351,1367,1383,1399,1415,1431,1447,1463,1479,1495,1511,1527,1543,1559,1575,1591
4,15,47,79,111,143,175,207,239,271,303,335,367,399,431,463,495,527,559,591,623,655,687,719,751,783,815,847,879,911,943,975,1007,1039,1071,1103,1135,1167,1199,1231,1263,1295,1327,1359,1391,1423,1455,1487,1519,1551,1583,1615,1647,1679,1711,1743,1775,1807,1839,1871,1903,1935,1967,1999,2031,2063,2095,2127,2159,2191,2223,2255,2287,2319,2351,2383,2415,2447,2479,2511,2543,2575,2607,2639,2671,2703,2735,2767,2799,2831,2863,2895,2927,2959,2991,3023,3055,3087,3119,3151,3183
5,63,127,191,255,319,383,447,511,575,639,703,767,831,895,959,1023,1087,1151,1215,1279,1343,1407,1471,1535,1599,1663,1727,1791,1855,1919,1983,2047,2111,2175,2239,2303,2367,2431,2495,2559,2623,2687,2751,2815,2879,2943,3007,3071,3135,3199,3263,3327,3391,3455,3519,3583,3647,3711,3775,3839,3903,3967,4031,4095,4159,4223,4287,4351,4415,4479,4543,4607,4671,4735,4799,4863,4927,4991,5055,5119,5183,5247,5311,5375,5439,5503,5567,5631,5695,5759,5823,5887,5951,6015,6079,6143,6207,6271,6335,6399
6,95,223,351,479,607,735,863,991,1119,1247,1375,1503,1631,1759,1887,2015,2143,2271,2399,2527,2655,2783,2911,3039,3167,3295,3423,3551,3679,3807,3935,4063,4191,4319,4447,4575,4703,4831,4959,5087,5215,5343,5471,5599,5727,5855,5983,6111,6239,6367,6495,6623,6751,6879,7007,7135,7263,7391,7519,7647,7775,7903,8031,8159,8287,8415,8543,8671,8799,8927,9055,9183,9311,9439,9567,9695,9823,9951,10079,10207,10335,10463,10591,10719,10847,10975,11103,11231,11359,11487,11615,11743,11871,11999,12127,12255,12383,12511,12639,12767
7,159,415,671,927,1183,1439,1695,1951,2207,2463,2719,2975,3231,3487,3743,3999,4255,4511,4767,5023,5279,5535,5791,6047,6303,6559,6815,7071,7327,7583,7839,8095,8351,8607,8863,9119,9375,9631,9887,10143,10399,10655,10911,11167,11423,11679,11935,12191,12447,12703,12959,13215,13471,13727,13983,14239,14495,14751,15007,15263,15519,15775,16031,16287,16543,16799,17055,17311,17567,17823,18079,18335,18591,18847,19103,19359,19615,19871,20127,20383,20639,20895,21151,21407,21663,21919,22175,22431,22687,22943,23199,23455,23711,23967,24223,24479,24735,24991,25247,25503
8,287,799,1311,1823,2335,2847,3359,3871,4383,4895,5407,5919,6431,6943,7455,7967,8479,8991,9503,10015,10527,11039,11551,12063,12575,13087,13599,14111,14623,15135,15647,16159,16671,17183,17695,18207,18719,19231,19743,20255,20767,21279,21791,22303,22815,23327,23839,24351,24863,25375,25887,26399,26911,27423,27935,28447,28959,29471,29983,30495,31007,31519,32031,32543,33055,33567,34079,34591,35103,35615,36127,36639,37151,37663,38175,38687,39199,39711,40223,40735,41247,41759,42271,42783,43295,43807,44319,44831,45343,45855,46367,46879,47391,47903,48415,48927,49439,49951,50463,50975
9,543,1567,2591,3615,4639,5663,6687,7711,8735,9759,10783,11807,12831,13855,14879,15903,16927,17951,18975,19999,21023,22047,23071,24095,25119,26143,27167,28191,29215,30239,31263,32287,33311,34335,35359,36383,37407,38431,39455,40479,41503,42527,43551,44575,45599,46623,47647,48671,49695,50719,51743,52767,53791,54815,55839,56863,57887,58911,59935,60959,61983,63007,64031,65055,66079,67103,68127,69151,70175,71199,72223,73247,74271,75295,76319,77343,78367,79391,80415,81439,82463,83487,84511,85535,86559,87583,88607,89631,90655,91679,92703,93727,94751,95775,96799,97823,98847,99871,100895,101919
10,31,2079,4127,6175,8223,10271,12319,14367,16415,18463,20511,22559,24607,26655,28703,30751,32799,34847,36895,38943,40991,43039,45087,47135,49183,51231,53279,55327,57375,59423,61471,63519,65567,67615,69663,71711,73759,75807,77855,79903,81951,83999,86047,88095,90143,92191,94239,96287,98335,100383,102431,104479,106527,108575,110623,112671,114719,116767,118815,120863,122911,124959,127007,129055,131103,133151,135199,137247,139295,141343,143391,145439,147487,149535,151583,153631,155679,157727,159775,161823,163871,165919,167967,170015,172063,174111,176159,178207,180255,182303,184351,186399,188447,190495,192543,194591,196639,198687,200735,202783
