r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,1,9,17,25,33,41,49,57,65,73,81,89,97,105,113,121,129,137,145,153,161,169,177,185,193,201,209,217,225,233,241,249,257,265,273,281,289,297,305,313,321,329,337,345,353,361,369,377,385,393,401,409,417,425,433,441,449,457,465,473,481,489,497,505,513,521,529,537,545,553,561,569,577,585,593,601,609,617,625,633,641,649,657,665,673,681,689,697,705,713,721,729,737,745,753,761,769,777,785,793
3,13,29,45,61,77,93,109,125,141,157,173,189,205,221,237,253,269,285,301,317,333,349,365,381,397,413,429,445,461,477,493,509,525,541,557,573,589,605,621,637,653,669,685,701,717,733,749,765,781,797,813,829,845,861,877,893,909,925,941,957,973,989,1005,1021,1037,1053,1069,1085,1101,1117,1133,1149,1165,1181,1197,1213,1229,1245,1261,1277,1293,1309,1325,1341,1357,1373,1389,1405,1421,1437,1453,1469,1485,1501,1517,1533,1549,1565,1581,1597
4,5,37,69,101,133,165,197,229,261,293,325,357,389,421,453,485,517,549,581,613,645,677,709,741,773,805,837,869,901,933,965,997,1029,1061,1093,1125,1157,1189,1221,1253,1285,1317,1349,1381,1413,1445,1477,1509,1541,1573,1605,1637,1669,1701,1733,1765,1797,1829,1861,1893,1925,1957,1989,2021,2053,2085,2117,2149,2181,2213,2245,2277,2309,2341,2373,2405,2437,2469,2501,2533,2565,2597,2629,2661,2693,2725,2757,2789,2821,2853,2885,2917,2949,2981,3013,3045,3077,3109,3141,3173
5,53,117,181,245,309,373,437,501,565,629,693,757,821,885,949,1013,1077,1141,1205,1269,1333,1397,1461,1525,1589,1653,1717,1781,1845,1909,1973,2037,2101,2165,2229,2293,2357,2421,2485,2549,2613,2677,2741,2805,2869,2933,2997,3061,3125,3189,3253,3317,3381,3445,3509,3573,3637,3701,3765,3829,3893,3957,4021,4085,4149,4213,4277,4341,4405,4469,4533,4597,4661,4725,4789,4853,4917,4981,5045,5109,5173,5237,5301,5365,5429,5493,5557,5621,5685,5749,5813,5877,5941,6005,6069,6133,6197,6261,6325,6389
6,21,149,277,405,533,661,789,917,1045,1173,1301,1429,1557,1685,1813,1941,2069,2197,2325,2453,2581,2709,2837,2965,3093,3221,3349,3477,3605,3733,3861,3989,4117,4245,4373,4501,4629,4757,4885,5013,5141,5269,5397,5525,5653,5781,5909,6037,6165,6293,6421,6549,6677,6805,6933,7061,7189,7317,7445,7573,7701,7829,7957,8085,8213,8341,8469,8597,8725,8853,8981,9109,9237,9365,9493,9621,9749,9877,10005,10133,10261,10389,10517,10645,10773,10901,11029,11157,11285,11413,11541,11669,11797,11925,12053,12181,12309,12437,12565,12693
7,213,469,725,981,1237,1493,1749,2005,2261,2517,2773,3029,3285,3541,3797,4053,4309,4565,4821,5077,5333,5589,5845,6101,6357,6613,6869,7125,7381,7637,7893,8149,8405,8661,8917,9173,9429,9685,9941,10197,10453,10709,10965,11221,11477,11733,11989,12245,12501,12757,13013,13269,13525,13781,14037,14293,14549,14805,15061,15317,15573,15829,16085,16341,16597,16853,17109,17365,17621,17877,18133,18389,18645,18901,19157,19413,19669,19925,20181,20437,20693,20949,21205,21461,21717,21973,22229,22485,22741,22997,23253,23509,23765,24021,24277,24533,24789,25045,25301,25557
8,85,597,1109,1621,2133,2645,3157,3669,4181,4693,5205,5717,6229,6741,7253,7765,8277,8789,9301,9813,10325,10837,11349,11861,12373,12885,13397,13909,14421,14933,15445,15957,16469,16981,17493,18005,18517,19029,19541,20053,20565,21077,21589,22101,22613,23125,23637,24149,24661,25173,25685,26197,26709,27221,27733,28245,28757,29269,29781,30293,30805,31317,31829,32341,32853,33365,33877,34389,34901,35413,35925,36437,36949,37461,37973,38485,38997,39509,40021,40533,41045,41557,42069,42581,43093,43605,44117,44629,45141,45653,46165,46677,47189,47701,48213,48725,49237,49749,50261,50773
9,853,1877,2901,3925,4949,5973,6997,8021,9045,10069,11093,12117,13141,14165,15189,16213,17237,18261,19285,20309,21333,22357,23381,24405,25429,26453,27477,28501,29525,30549,31573,32597,33621,34645,35669,36693,37717,38741,39765,40789,41813,42837,43861,44885,45909,46933,47957,48981,50005,51029,52053,53077,54101,55125,56149,57173,58197,59221,60245,61269,62293,63317,64341,65365,66389,67413,68437,69461,70485,71509,72533,73557,74581,75605,76629,77653,78677,79701,80725,81749,82773,83797,84821,85845,86869,87893,88917,89941,90965,91989,93013,94037,95061,96085,97109,98133,99157,100181,101205,102229
10,341,2389,4437,6485,8533,10581,12629,14677,16725,18773,20821,22869,24917,26965,29013,31061,33109,35157,37205,39253,41301,43349,45397,47445,49493,51541,53589,55637,57685,59733,61781,63829,65877,67925,69973,72021,74069,76117,78165,80213,82261,84309,86357,88405,90453,92501,94549,96597,98645,100693,102741,104789,106837,108885,110933,112981,115029,117077,119125,121173,123221,125269,127317,129365,131413,133461,135509,137557,139605,141653,143701,145749,147797,149845,151893,153941,155989,158037,160085,162133,164181,166229,168277,170325,172373,174421,176469,178517,180565,182613,184661,186709,188757,190805,192853,194901,196949,198997,201045,203093
