r,base_odd,odds_diff
1,1,4
2,7,8
3,3,16
4,27,32
5,43,64
6,11,128
7,75,256
8,203,512
9,971,1024
10,459,2048
11,1483,4096
12,3531,8192
13,7627,16384
14,32203,32768
15,48587,65536
16,15819,131072
17,212427,262144
18,81355,524288
19,343499,1048576
20,1916363,2097152
21,2964939,4194304
22,5062091,8388608
23,867787,16777216
24,26033611,33554432
